ParkName,Latitude,Longitude
National Capital Parks Central,39.063,-76.835
National Park of American Samoa,-14.249,-169.449
Natural Bridges NM,37.603,-110.011
Navajo NM,36.685,-110.536
New Bedford Whaling NHP,41.635,-70.923
New Orleans Jazz NHP,29.963,-90.067
New River Gorge NP & PRES,37.897,-81.043
Nez Perce NHP,45.796,-116.275
Nicodemus NHS,39.39,-99.618
Ninety Six NHS,34.144,-82.015
Niobrara NSR,42.814,-100.139
Noatak NPRES,67.858,-158.145
North Cascades NP,48.828,-121.35
Obed W&SR,36.109,-84.725
Ocmulgee Mounds NHP,32.827,-83.594
Olympic NP,47.787,-123.534
Oregon Caves NM & PRES,42.105,-123.404
Organ Pipe Cactus NM,32.008,-112.875
Ozark NSR,37.242,-91.324
Padre Island NS,26.706,-97.341
Palo Alto Battlefield NHP,26.024,-97.463
Paterson Great Falls NHP,40.917,-74.179
Pea Ridge NMP,36.453,-94.03
Pearl Harbor NMEM,21.367,-157.939
Pecos NHP,35.538,-105.675
Pennsylvania Avenue NHS,38.893,-77.018
Perry's Victory & Intl. Peace MEM,41.655,-82.81
Petersburg NB,37.229,-77.361
Petrified Forest NP,34.931,-109.773
Petroglyph NM,35.14,-106.745
Pictured Rocks NL,46.548,-86.379
Pinnacles NP,36.475,-121.173
Pipe Spring NM,36.863,-112.74
Pipestone NM,44.014,-96.325
Piscataway Park,38.685,-77.056
Point Reyes NS,38.071,-122.918
Port Chicago Naval Magazine NMEM,38.057,-122.03
President W.J. Clinton Birthplace Home NHS,33.668,-93.596
Prince William Forest Park,38.586,-77.381
Pu'uhonua o Honaunau NHP,19.409,-155.9
Pu'ukohola Heiau NHS,20.028,-155.821
Rainbow Bridge NM,37.078,-110.966
Redwood NP,41.267,-124.004
Richmond NBP,37.57,-77.281
Rio Grande W&SR,29.758,-102.533
River Raisin NBP,41.913,-83.376
Rock Creek Park,38.964,-77.048
Rocky Mountain NP,40.357,-105.704
Roger Williams NMEM,41.83,-71.41
Rosie The Riveter WWII Home Front NHP,37.908,-122.367
Ross Lake NRA,48.788,-121.07
Russell Cave NM,34.974,-85.816
Sagamore Hill NHS,40.886,-73.496
Saguaro NP,32.171,-110.618
Saint Croix Island IHS,45.129,-67.134
Saint Croix NSR,46.029,-92.017
Saint Paul's Church NHS,40.893,-73.826
Saint-Gaudens NHP,43.5,-72.373
Salem Maritime NHS,42.519,-70.886
Salinas Pueblo Missions NM,34.26,-106.09
Salt River Bay NHP & Ecological Pres,17.78,-64.756
San Antonio Missions NHP,29.333,-98.455
San Francisco Maritime NHP,37.81,-122.424
San Juan Island NHP,48.462,-123.009
San Juan NHS,18.469,-66.12
Sand Creek Massacre NHS,38.563,-102.519
Santa Monica Mountains NRA,34.11,-118.798
Saratoga NHP,42.992,-73.63
Saugus Iron Works NHS,42.469,-71.008
Scotts Bluff NM,41.835,-103.707
Sequoia NP,36.496,-118.56
Shenandoah NP,38.473,-78.463
Shiloh NMP,35.141,-88.336
Sitka NHP,57.047,-135.316
Sleeping Bear Dunes NL,45.108,-86.012
Springfield Armory NHS,42.108,-72.581
Statue of Liberty NM,40.698,-74.041
Steamtown NHS,41.408,-75.672
Stones River NB,35.873,-86.434
Stonewall NM,40.734,-74.002
Sunset Crater Volcano NM,35.371,-111.511
Tallgrass Prairie NPRES,38.419,-96.55
