RecreationVisits,RecreationHours,TentCampers,RVCampers,BackcountryCampers,Campers,Clusters,Cluster Color
878,23022,37,0,0,37,0,peach
729,21699,50,0,0,50,0,peach
1374,30903,96,0,0,96,0,peach
1452,32019,97,0,0,97,0,peach
1894,46670,214,0,0,214,0,peach
3065,92160,599,0,0,599,0,peach
2685,89235,904,0,0,904,0,peach
1471,44322,691,0,0,691,0,peach
1984,45726,321,0,0,321,0,peach
2265,54771,460,0,0,460,0,peach
1564,36330,32,0,0,32,0,peach
1327,35070,54,0,0,54,0,peach
1334,28921,151,0,0,151,0,peach
1166,24626,57,0,0,57,0,peach
1879,37218,178,0,0,178,0,peach
2407,42776,106,0,0,106,0,peach
2069,38960,61,0,0,61,0,peach
2979,72462,594,0,0,594,0,peach
2949,72312,560,0,0,560,0,peach
1417,49981,476,0,0,476,0,peach
2901,67409,450,0,0,450,0,peach
2669,55110,712,0,0,712,0,peach
1104,25131,129,0,0,129,0,peach
1722,41673,44,0,0,44,0,peach
897,17244,44,0,0,44,0,peach
1027,18282,33,0,0,33,0,peach
1079,17184,32,0,0,32,0,peach
1448,23544,93,0,0,93,0,peach
1529,26340,80,0,0,80,0,peach
1709,63897,626,0,0,626,0,peach
1826,69549,1131,0,0,1131,0,peach
1899,68448,518,0,0,518,0,peach
1363,38109,251,0,0,251,0,peach
1209,39621,421,0,0,421,0,peach
948,24825,118,0,0,118,0,peach
869,23457,16,0,0,16,0,peach
1138,34923,22,0,0,22,0,peach
1719,40992,49,0,0,49,0,peach
2514,26448,1212,0,0,1212,0,peach
2310,25260,960,0,0,960,0,peach
3858,44283,1848,0,0,1848,0,peach
4524,55065,6564,0,0,6564,0,peach
4622,58122,6888,0,0,6888,0,peach
2998,37284,5052,0,0,5052,0,peach
3155,36315,2424,0,0,2424,0,peach
2843,33039,3180,0,0,3180,0,peach
1550,16740,1056,0,0,1056,0,peach
1323,14808,1200,0,0,1200,0,peach
1964,21738,1608,0,0,1608,0,peach
1209,13842,864,0,0,864,0,peach
1924,21912,1632,0,0,1632,0,peach
2771,28812,600,0,0,600,0,peach
2439,27864,1980,0,0,1980,0,peach
3505,47832,9300,0,0,9300,0,peach
4506,59910,7260,0,0,7260,0,peach
3635,46956,4596,0,0,4596,0,peach
4183,55488,6696,0,0,6696,0,peach
3420,41706,2592,0,0,2592,0,peach
2170,27354,2016,0,0,2016,0,peach
1479,20223,2664,0,0,2664,0,peach
2429,30870,2640,0,0,2640,0,peach
2666,31116,2472,0,0,2472,0,peach
